date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,umich_sentiment,vix,sent_vix_gap
2023-08-08,432.791751,435.322383,430.077629,433.438904,71361300,-0.004358,69.4,15.853913,-1.123582
2023-08-09,433.709378,433.87359,429.778236,430.54129,78789600,-0.006708,69.4,15.853913,-1.123582
2023-08-10,432.898038,436.288288,429.527124,430.695831,93005500,0.000359,69.4,15.853913,-1.123582
2023-08-11,428.82203,431.458895,428.223188,430.444702,68690900,-0.000583,69.4,15.853913,-1.123582
2023-08-14,429.527113,432.82074,429.218024,432.82074,47867400,0.005505,69.4,15.853913,-1.123582
2023-08-15,431.043491,431.400891,427.208944,427.778839,75707500,-0.011717,69.4,15.853913,-1.123582
2023-08-16,427.363531,429.024847,424.533508,424.639771,80107200,-0.007365,69.4,15.853913,-1.123582
2023-08-17,426.107856,426.368633,420.882438,421.404022,95711300,-0.007649,69.4,15.853913,-1.123582
2023-08-18,418.583631,422.640341,418.235928,421.606842,98852000,0.000481,69.4,15.853913,-1.123582
2023-08-21,422.621071,425.093724,420.467176,424.350006,68719000,0.006485,69.4,15.853913,-1.123582
2023-08-22,426.127178,426.127178,422.640364,423.200562,64994200,-0.002712,69.4,15.853913,-1.123582
2023-08-23,424.263005,428.53221,424.118129,427.914032,68441000,0.011076,69.4,15.853913,-1.123582
2023-08-24,429.517438,430.029354,421.954577,421.983582,88517300,-0.013956,69.4,15.853913,-1.123582
2023-08-25,423.712502,426.243104,420.158068,424.958496,102325100,0.007025,69.4,15.853913,-1.123582
2023-08-28,427.150983,428.271407,424.958444,427.653259,61595400,0.006321,69.4,15.853913,-1.123582
2023-08-29,427.547008,434.115014,427.363489,433.8349,83081900,0.014351,69.4,15.853913,-1.123582
2023-08-30,434.173005,436.259311,433.467902,435.621826,69053900,0.00411,69.4,15.853913,-1.123582
2023-08-31,436.239947,437.379679,434.800794,434.984314,66084600,-0.001465,69.4,15.853913,-1.123582
2023-09-01,437.708078,438.191018,434.337135,435.795624,58944100,0.001863,67.8,15.173333,-1.348141
2023-09-05,435.351383,435.670111,433.844612,433.912201,55166200,-0.004331,67.8,15.173333,-1.348141
2023-09-06,433.100883,433.207145,428.667494,430.99527,70758500,-0.006745,67.8,15.173333,-1.348141
2023-09-07,427.991314,430.348065,427.643612,429.671967,70355400,-0.003075,67.8,15.173333,-1.348141
2023-09-08,429.720251,431.854838,429.362879,430.319092,61659700,0.001505,67.8,15.173333,-1.348141
2023-09-11,432.946253,433.458168,431.236655,433.149109,60180100,0.006555,67.8,15.173333,-1.348141
2023-09-12,431.700338,433.226416,430.193567,430.773071,67565400,-0.005501,67.8,15.173333,-1.348141
2023-09-13,430.995185,432.434338,429.894068,431.275299,60199300,0.001165,67.8,15.173333,-1.348141
2023-09-14,433.747962,435.689362,432.444018,434.993927,83430800,0.008585,67.8,15.173333,-1.348141
2023-09-15,433.407254,433.736808,429.31686,429.753021,111848900,-0.012121,67.8,15.173333,-1.348141
2023-09-18,429.442893,431.303938,428.967952,430.005096,55752200,0.000586,67.8,15.173333,-1.348141
2023-09-19,429.084173,429.675454,426.428335,429.113251,66514600,-0.002076,67.8,15.173333,-1.348141
2023-09-20,430.373343,430.790129,424.964702,425.168274,82562600,-0.009236,67.8,15.173333,-1.348141
2023-09-21,422.318588,422.580285,417.985871,418.140961,104095800,-0.016666,67.8,15.173333,-1.348141
2023-09-22,419.168397,420.767716,416.783929,417.200745,100829700,-0.002251,67.8,15.173333,-1.348141
2023-09-25,415.989122,418.993889,415.552931,418.955139,70874500,0.004196,67.8,15.173333,-1.348141
2023-09-26,415.911576,416.619166,411.966568,412.800171,96168400,-0.0148,67.8,15.173333,-1.348141
2023-09-27,413.972972,414.535175,409.320404,412.964905,104705800,0.000399,67.8,15.173333,-1.348141
2023-09-28,412.412457,417.035948,411.821176,415.35907,92258300,0.005781,67.8,15.173333,-1.348141
2023-09-29,418.412361,418.586825,412.829255,414.351044,115111300,-0.00243,67.8,15.173333,-1.348141
2023-10-02,413.517408,415.436607,411.423743,414.186218,83798600,-0.000398,63.8,18.887727,-1.049424
2023-10-03,412.005366,414.244418,407.275238,408.641937,103760600,-0.013476,63.8,18.887727,-1.049424
2023-10-04,409.107194,412.363986,407.64356,411.617645,87453000,0.007256,63.8,18.887727,-1.049424
2023-10-05,411.32684,412.30583,408.23484,411.462555,70142700,-0.000377,63.8,18.887727,-1.049424
2023-10-06,409.010265,417.888942,407.682345,416.347778,113273300,0.011803,63.8,18.887727,-1.049424
2023-10-09,414.44794,419.585182,413.895469,419.013306,80374400,0.006382,63.8,18.887727,-1.049424
2023-10-10,419.643317,423.791867,419.245906,421.194183,78607300,0.005191,63.8,18.887727,-1.049424
2023-10-11,422.260417,423.17152,419.875948,422.919525,62451700,0.004088,63.8,18.887727,-1.049424
2023-10-12,423.530212,423.908219,417.985886,420.341248,81154200,-0.006115,63.8,18.887727,-1.049424
2023-10-13,421.843607,423.045544,416.677318,418.247559,95143100,-0.004993,63.8,18.887727,-1.049424
2023-10-16,420.496313,423.714354,420.253991,422.648132,75433200,0.010466,63.8,18.887727,-1.049424
2023-10-17,419.517319,424.683637,419.168389,422.628723,75324700,-4.6e-05,63.8,18.887727,-1.049424
2023-10-18,420.854998,421.814584,415.911625,416.997223,93559800,-0.013415,63.8,18.887727,-1.049424
2023-10-19,417.714481,419.527044,412.654799,413.333282,121323000,-0.008825,63.8,18.887727,-1.049424
2023-10-20,412.897107,413.439906,408.147574,408.254211,123919900,-0.012364,63.8,18.887727,-1.049424
2023-10-23,406.722731,411.414108,404.968322,407.546631,92035100,-0.001735,63.8,18.887727,-1.049424
2023-10-24,409.66935,411.772717,407.818008,410.619263,78564200,0.007511,63.8,18.887727,-1.049424
2023-10-25,408.932747,408.961825,404.212292,404.726013,94223200,-0.014456,63.8,18.887727,-1.049424
2023-10-26,403.659854,404.512802,398.958803,399.879608,115156800,-0.012047,63.8,18.887727,-1.049424
2023-10-27,401.469195,401.866606,396.642132,398.066986,107367700,-0.004543,63.8,18.887727,-1.049424
2023-10-30,400.85852,403.882692,399.559678,402.826172,86562700,0.011885,63.8,18.887727,-1.049424
2023-10-31,403.398099,405.675931,401.488602,405.356079,79665200,0.006261,63.8,18.887727,-1.049424
2023-11-01,406.32532,410.493245,405.792194,409.679047,98068100,0.010608,61.3,14.019091,-2.004623
2023-11-02,413.47869,417.685424,413.459315,417.530334,94938900,0.018983,61.3,14.019091,-2.004623
2023-11-03,419.837216,422.890466,419.711204,421.3396,100167800,0.009082,61.3,14.019091,-2.004623
2023-11-06,422.095654,422.754763,420.360621,422.308899,67831700,0.002298,61.3,14.019091,-2.004623
2023-11-07,422.308896,424.150537,421.165144,423.510803,64256100,0.002842,61.3,14.019091,-2.004623
2023-11-08,424.111728,424.635151,421.514044,423.820953,61746000,0.000732,61.3,14.019091,-2.004623
2023-11-09,424.964774,425.003554,420.089258,420.515747,83174400,-0.007829,61.3,14.019091,-2.004623
2023-11-10,422.589982,427.387938,420.505991,427.077759,89462200,0.015484,61.3,14.019091,-2.004623
2023-11-13,425.740147,427.775627,424.955026,426.670654,52236100,-0.000954,61.3,14.019091,-2.004623
2023-11-14,432.612408,436.237534,432.389462,434.948395,97176900,0.019215,61.3,14.019091,-2.004623
2023-11-15,436.286019,437.517033,435.016254,435.869232,77327600,0.002115,61.3,14.019091,-2.004623
2023-11-16,435.423354,436.722196,434.357132,436.402344,66665800,0.001222,61.3,14.019091,-2.004623
2023-11-17,436.412004,437.555785,435.491198,436.945129,83133200,0.001243,61.3,14.019091,-2.004623
2023-11-20,436.69311,441.151839,436.683408,440.308563,69936200,0.007668,61.3,14.019091,-2.004623
2023-11-21,439.261736,440.182571,438.079204,439.348969,49244600,-0.002182,61.3,14.019091,-2.004623
2023-11-22,441.006416,442.363412,439.949896,441.045166,59394900,0.003853,61.3,14.019091,-2.004623
2023-11-24,441.093672,441.510459,440.764118,441.316589,29737400,0.000615,61.3,14.019091,-2.004623
2023-11-27,440.686521,441.500719,440.13402,440.521759,50506000,-0.001803,61.3,14.019091,-2.004623
2023-11-28,440.134107,442.25685,439.571934,440.958008,62115000,0.00099,61.3,14.019091,-2.004623
2023-11-29,443.109795,444.243875,440.250415,440.647797,63146000,-0.000704,61.3,14.019091,-2.004623
2023-11-30,441.491145,442.731832,439.416856,442.382874,79752700,0.00393,61.3,14.019091,-2.004623
2023-12-01,441.772164,445.533005,441.180913,444.999908,89183400,0.005898,69.7,12.7185,-1.599692
2023-12-04,441.60736,445.019241,440.386048,442.663879,72430900,-0.005263,69.7,12.7185,-1.599692
2023-12-05,441.277879,443.536306,440.899843,442.576721,69793500,-0.000197,69.7,12.7185,-1.599692
2023-12-06,444.718785,444.747862,440.356991,440.793182,69124700,-0.004038,69.7,12.7185,-1.599692
2023-12-07,442.87715,444.806022,442.276196,444.156616,66995400,0.007601,69.7,12.7185,-1.599692
2023-12-08,443.410294,446.599258,443.167972,446.066162,83194400,0.00429,69.7,12.7185,-1.599692
2023-12-11,445.571798,447.975642,445.358553,447.801147,65002200,0.003882,69.7,12.7185,-1.599692
2023-12-12,447.452233,449.943309,446.453868,449.846375,68327600,0.004557,69.7,12.7185,-1.599692
2023-12-13,450.224377,456.301829,449.865745,456.049805,93278000,0.013696,69.7,12.7185,-1.599692
2023-12-14,457.988369,459.180604,454.838185,457.513428,119026000,0.003204,69.7,12.7185,-1.599692
